Date,Ticker,ROA,ROE,EPS,P/E Ratio,Debt/Equity,Dividend Yield,Revenue,Net Income
2020-12-31,AMZN,0.07438,0.24290001,5.53,34.685352,54.342,,637959012352,59248001024
2021-12-31,AMZN,0.07438,0.24290001,5.53,34.685352,54.342,,637959012352,59248001024
2022-12-31,AMZN,0.07438,0.24290001,5.53,34.685352,54.342,,637959012352,59248001024
2023-12-31,AMZN,0.07438,0.24290001,5.53,34.685352,54.342,,637959012352,59248001024
2024-12-31,AMZN,0.07438,0.24290001,5.53,34.685352,54.342,,637959012352,59248001024
2019-12-31,TSLA,0.04186,0.1042,2.04,128.81265,18.489,,97690001408,7129999872
2020-12-31,TSLA,0.04186,0.1042,2.04,128.81265,18.489,,97690001408,7129999872
2021-12-31,TSLA,0.04186,0.1042,2.04,128.81265,18.489,,97690001408,7129999872
2022-12-31,TSLA,0.04186,0.1042,2.04,128.81265,18.489,,97690001408,7129999872
2023-12-31,TSLA,0.04186,0.1042,2.04,128.81265,18.489,,97690001408,7129999872
2024-12-31,TSLA,0.04186,0.1042,2.04,128.81265,18.489,,97690001408,7129999872
2019-12-31,META,0.16863,0.37140998,23.85,24.654087,27.25,0.36,164500996096,62359998464
2020-12-31,META,0.16863,0.37140998,23.85,24.654087,27.25,0.36,164500996096,62359998464
2021-12-31,META,0.16863,0.37140998,23.85,24.654087,27.25,0.36,164500996096,62359998464
2022-12-31,META,0.16863,0.37140998,23.85,24.654087,27.25,0.36,164500996096,62359998464
2023-12-31,META,0.16863,0.37140998,23.85,24.654087,27.25,0.36,164500996096,62359998464
2024-12-31,META,0.16863,0.37140998,23.85,24.654087,27.25,0.36,164500996096,62359998464
2019-12-31,NVDA,0.57417,1.1917701,2.94,37.187042,12.946,0.04,130497003520,72879996928
2020-12-31,NVDA,0.57417,1.1917701,2.94,37.187042,12.946,0.04,130497003520,72879996928
2021-12-31,NVDA,0.57417,1.1917701,2.94,37.187042,12.946,0.04,130497003520,72879996928
2022-12-31,NVDA,0.57417,1.1917701,2.94,37.187042,12.946,0.04,130497003520,72879996928
2023-12-31,NVDA,0.57417,1.1917701,2.94,37.187042,12.946,0.04,130497003520,72879996928
2024-12-31,NVDA,0.57417,1.1917701,2.94,37.187042,12.946,0.04,130497003520,72879996928
2019-12-31,F,0.01164,0.13448,1.46,6.8424654,358.603,7.55,184992006144,5879000064
2020-12-31,F,0.01164,0.13448,1.46,6.8424654,358.603,7.55,184992006144,5879000064
2021-12-31,F,0.01164,0.13448,1.46,6.8424654,358.603,7.55,184992006144,5879000064
2022-12-31,F,0.01164,0.13448,1.46,6.8424654,358.603,7.55,184992006144,5879000064
2023-12-31,F,0.01164,0.13448,1.46,6.8424654,358.603,7.55,184992006144,5879000064
2024-12-31,F,0.01164,0.13448,1.46,6.8424654,358.603,7.55,184992006144,5879000064
2019-12-31,JNJ,0.08126,0.20056,5.79,26.625217,52.922,3.24,88820998144,14065999872
2020-12-31,JNJ,0.08126,0.20056,5.79,26.625217,52.922,3.24,88820998144,14065999872
2021-12-31,JNJ,0.08126,0.20056,5.79,26.625217,52.922,3.24,88820998144,14065999872
2022-12-31,JNJ,0.08126,0.20056,5.79,26.625217,52.922,3.24,88820998144,14065999872
2023-12-31,JNJ,0.08126,0.20056,5.79,26.625217,52.922,3.24,88820998144,14065999872
2024-12-31,JNJ,0.08126,0.20056,5.79,26.625217,52.922,3.24,88820998144,14065999872
2019-12-31,JPM,0.014839999,0.17386,19.76,12.424312,,2.3,166774996992,56867999744
2020-12-31,JPM,0.014839999,0.17386,19.76,12.424312,,2.3,166774996992,56867999744
2021-12-31,JPM,0.014839999,0.17386,19.76,12.424312,,2.3,166774996992,56867999744
2022-12-31,JPM,0.014839999,0.17386,19.76,12.424312,,2.3,166774996992,56867999744
2023-12-31,JPM,0.014839999,0.17386,19.76,12.424312,,2.3,166774996992,56867999744
2024-12-31,JPM,0.014839999,0.17386,19.76,12.424312,,2.3,166774996992,56867999744
2019-12-31,V,0.16712,0.51191,9.91,34.69223,53.815,0.68,36801998848,19704999936
2020-12-31,V,0.16712,0.51191,9.91,34.69223,53.815,0.68,36801998848,19704999936
2021-12-31,V,0.16712,0.51191,9.91,34.69223,53.815,0.68,36801998848,19704999936
2022-12-31,V,0.16712,0.51191,9.91,34.69223,53.815,0.68,36801998848,19704999936
2023-12-31,V,0.16712,0.51191,9.91,34.69223,53.815,0.68,36801998848,19704999936
2024-12-31,V,0.16712,0.51191,9.91,34.69223,53.815,0.68,36801998848,19704999936
2019-12-31,PG,0.108839996,0.31058002,6.28,26.847134,67.428,2.36,84346003456,15192000512
2020-12-31,PG,0.108839996,0.31058002,6.28,26.847134,67.428,2.36,84346003456,15192000512
2021-12-31,PG,0.108839996,0.31058002,6.28,26.847134,67.428,2.36,84346003456,15192000512
2022-12-31,PG,0.108839996,0.31058002,6.28,26.847134,67.428,2.36,84346003456,15192000512
2023-12-31,PG,0.108839996,0.31058002,6.28,26.847134,67.428,2.36,84346003456,15192000512
2024-12-31,PG,0.108839996,0.31058002,6.28,26.847134,67.428,2.36,84346003456,15192000512
2019-12-31,UNH,0.07056,0.15128,15.48,33.701874,79.727,1.61,400277995520,14405000192
2020-12-31,UNH,0.07056,0.15128,15.48,33.701874,79.727,1.61,400277995520,14405000192
2021-12-31,UNH,0.07056,0.15128,15.48,33.701874,79.727,1.61,400277995520,14405000192
2022-12-31,UNH,0.07056,0.15128,15.48,33.701874,79.727,1.61,400277995520,14405000192
2023-12-31,UNH,0.07056,0.15128,15.48,33.701874,79.727,1.61,400277995520,14405000192
2024-12-31,UNH,0.07056,0.15128,15.48,33.701874,79.727,1.61,400277995520,14405000192
2019-12-31,XOM,0.062459998,0.14515,7.84,15.04847,17.852,3.33,340568014848,33679998976
2020-12-31,XOM,0.062459998,0.14515,7.84,15.04847,17.852,3.33,340568014848,33679998976
2021-12-31,XOM,0.062459998,0.14515,7.84,15.04847,17.852,3.33,340568014848,33679998976
2022-12-31,XOM,0.062459998,0.14515,7.84,15.04847,17.852,3.33,340568014848,33679998976
2023-12-31,XOM,0.062459998,0.14515,7.84,15.04847,17.852,3.33,340568014848,33679998976
2024-12-31,XOM,0.062459998,0.14515,7.84,15.04847,17.852,3.33,340568014848,33679998976
2019-12-31,NFLX,0.12720999,0.38435,19.87,47.407898,72.726,,39000965120,8711630848
2020-12-31,NFLX,0.12720999,0.38435,19.87,47.407898,72.726,,39000965120,8711630848
2021-12-31,NFLX,0.12720999,0.38435,19.87,47.407898,72.726,,39000965120,8711630848
2022-12-31,NFLX,0.12720999,0.38435,19.87,47.407898,72.726,,39000965120,8711630848
2023-12-31,NFLX,0.12720999,0.38435,19.87,47.407898,72.726,,39000965120,8711630848
2024-12-31,NFLX,0.12720999,0.38435,19.87,47.407898,72.726,,39000965120,8711630848
